diameter,density,gas_density,gas_viscosity,sphericity,voidage,umf
2300,2600,1.212,1.81E-05,1,0.45,148
231,2500,1.212,1.81E-05,1,0.45,5.24
231,2635,1.212,1.81E-05,1,0.45,4.26
231,2847.81,1.212,1.81E-05,0.98,0.459,4.85
231,2500,1.212,1.81E-05,1,0.45,4.1
231,2500,1.212,1.81E-05,1,0.45,5.2
231,2476,1.212,1.81E-05,1,0.45,5.6
231,2500,1.212,1.81E-05,1,0.45,3.9
231,2712.161,1.212,1.81E-05,0.86,0.3824,1.44
231,4000,1.212,1.81E-05,1,0.45,9.5
231,939,1.212,1.81E-05,1,0.45,1.611
232,2730,1.212,1.81E-05,0.62,0.45,4.3
232,4650,1.212,1.81E-05,1,0.45,9.1
232,1510,1.212,1.81E-05,1,0.45,2.2
232,4600,1.212,1.81E-05,1,0.45,8.7
232,4600,1.212,1.81E-05,1,0.45,9.5
234,939,1.212,1.81E-05,1,0.45,1.98
236,2722,1.212,1.81E-05,1,0.45,5
236,1507,1.212,1.81E-05,1,0.45,2.8
237,1450,1.212,1.81E-05,0.6,0.57,17.7
237,3250,1.212,1.81E-05,0.78,0.45,8.2
2380,900,1.212,1.81E-05,1,0.45,64
239,3120,1.212,1.81E-05,1,0.45,4.68
240,2582,1.212,1.81E-05,1,0.45,4.8
240,384,1.212,1.81E-05,1,0.45,2
240,2650,1.212,1.81E-05,1,0.45,7
240,2630,1.212,1.81E-05,1,0.45,7.4
2400,2240,1.212,1.81E-05,1,0.45,110
241,2630,1.212,1.81E-05,1,0.45,7.4
241,2630,1.212,1.81E-05,0.98,0.45,7.4
241,2630,1.212,1.81E-05,1,0.45,9
241,2630,1.212,1.81E-05,0.94,0.45,7.4
242,150,1.212,1.81E-05,1,0.45,0.4
242,2600,1.212,1.81E-05,1,0.45,3.8
243,7600,1.212,1.81E-05,1,0.45,17.3
2432,2550,1.212,1.81E-05,1,0.45,124.1
245,2500,1.212,1.81E-05,1,0.45,3.6
245,1300,1.212,1.81E-05,1,0.45,3.2
245,6150,1.212,1.81E-05,1,0.45,12.4
246,2750,2.975,4.70E-05,1,0.45,2.43
246,2650,0.316220837,4.55E-05,1,0.45,2.9
246,2680,0.311778753,4.58E-05,1,0.45,5.443
246,2500,1.212,1.81E-05,1,0.45,6.4
246,2700,0.301712829,4.68E-05,1,0.45,2.364
246,2500,1.2,1.79E-05,1,0.45,8.76
2490,2526,1.212,1.81E-05,1,0.407,125
2490,2526,1.212,1.81E-05,1,0.45,128
25,4060,1.212,1.81E-05,1,0.45,0.19
250,2466,1.229,1.81E-05,1,0.45,6
250,1400,1.212,1.81E-05,1,0.45,2.7
250,1020,1.212,1.81E-05,1,0.45,1.6
250,2466,1.212,1.81E-05,1,0.45,6.03
250,880,1.212,1.81E-05,1,0.45,2
250,2550,1.212,1.81E-05,1,0.45,6
250,2200,0.175,3.94E-05,0.69,0.6,9
250,750,1.212,1.81E-05,1,0.45,2.4
250,8090,1.212,1.81E-05,1,0.45,15.2
250,2500,1.212,1.81E-05,1,0.45,6.22
2500,2526,1.212,1.81E-05,1,0.45,133
2500,2526,1.212,1.81E-05,1,0.45,128
2500,130,1.212,1.81E-05,1,0.45,44
2500,1600,1.212,1.81E-05,1,0.45,118
2500,2523,1.212,1.81E-05,1,0.45,125
2500,2526,1.212,1.81E-05,1,0.45,131
2500,2526,1.2,1.80E-05,1,0.45,126
2500,1450,1.212,1.81E-05,0.97,0.45,91
2500,2526,1.212,1.81E-05,1,0.45,125
2500,2523,1.15,1.80E-05,1,0.45,125
2500,2500,1.205,1.81E-05,1,0.45,125
253,2650,1.212,1.81E-05,1,0.398,3.8
253,2300,1.212,1.81E-05,1,0.45,4.7
254,2635,1.212,1.81E-05,1,0.45,4.88
254,2465,1.212,1.81E-05,1,0.45,7.45
255,2560,1.212,1.81E-05,1,0.45,9.8
256,1350,1.212,1.81E-05,1,0.45,2.86
256,2420,0.384741062,4.03E-05,1,0.45,0.714
257,2550,1.212,1.81E-05,1,0.45,5.4
258,3980,1.212,1.81E-05,1,0.45,7.58
259,4015,1.212,1.81E-05,1,0.45,10.4
26,1680,1.212,1.81E-05,1,0.45,0.14
260,3800,1.212,1.81E-05,1,0.45,10.2
260,4650,1.212,1.81E-05,0.812,0.446,11.795
2600,2600,1.212,1.81E-05,1,0.45,150
2600,2600,1.205,1.81E-05,1,0.45,150
261,6150,1.212,1.81E-05,1,0.45,14
261,2500,1.212,1.81E-05,1,0.45,8.15
261,7520,1.212,1.81E-05,1,0.45,17.7
262,3186,1.212,1.81E-05,1,0.45,9.78
263,3770,1.212,1.81E-05,1,0.45,7.2
263,3770,1.212,1.81E-05,1,0.45,7.7
263,3770,1.212,1.81E-05,1,0.45,8
264,3970,0.384741062,4.03E-05,1,0.45,1.68
264,3265,0.316220837,4.55E-05,1,0.45,5.8
264,3265,0.316220837,4.55E-05,1,0.45,3.7
264,5030,1.212,1.81E-05,1,0.67,8.8
264,2535,1.212,1.81E-05,1,0.45,6.07
2640,650,1.212,1.81E-05,1,0.45,69
265,2490,1.212,1.81E-05,1,0.45,6.2
266,3980,1.212,1.81E-05,1,0.45,8.3
266,3980,1.212,1.81E-05,1,0.45,8.9
266,3980,1.212,1.81E-05,1,0.45,9.4
268,8670,1.212,1.81E-05,1,0.45,18.7
268,3780,1.212,1.81E-05,1,0.45,10.3
2690,2100,1.212,1.81E-05,1,0.57,157.1
270,2480,1.212,1.81E-05,1,0.45,6
270,2200,1.212,1.81E-05,1,0.45,6.1
271,2480,1.212,1.81E-05,1,0.45,6.02
271,2480,1.212,1.81E-05,1,0.45,6.8
272,2750,0.300182587,4.69E-05,1,0.45,2.76
272,8750,1.212,1.81E-05,1,0.45,21.6
275,2600,1.212,1.81E-05,1,0.45,5.6
275,2462,1.212,1.81E-05,1,0.45,7.065
275,2500,1.225,1.79E-05,1,0.39,6.5
275,2500,1.225,1.49E-05,1,0.36,6.3
275,2550,1.21,1.80E-05,1,0.437,7
275,2500,1.225,1.81E-05,1,0.45,6.5
275,2500,1.225,1.79E-05,1,0.45,6.5
275,2500,1.212,1.81E-05,1,0.45,6.5
275,2500,1.225,1.49E-05,1,0.45,6.5
275,2451,1.21,1.80E-05,1,0.422,7
275,1064,1.212,1.81E-05,1,0.45,4
275,2500,1.212,1.81E-05,1,0.45,5.8
275,1250,1.212,1.81E-05,1,0.45,3.5
275,2500,1.225,1.80E-05,1,0.45,6.5
275,3980,1.212,1.81E-05,1,0.45,8.9
275,2190,1.172,1.86E-05,1,0.45,1.7
275,3980,1.212,1.81E-05,1,0.45,8.4
275,1064,1.2,1.83E-05,1,0.45,4
275,1250,1.212,1.81E-05,1,0.45,3.3
275,2600,1.2,1.80E-05,1,0.45,5.6
275,2500,1.212,1.81E-05,1,0.45,5.9
275,939,1.212,1.81E-05,1,0.45,2.278
2750,1018,1.212,1.81E-05,1,0.45,82
278,939,1.212,1.81E-05,1,0.45,2.8
280,2600,1.225,1.79E-05,1,0.45,1.45
280,2600,1.212,1.81E-05,1,0.402,8
280,2650,1.212,1.81E-05,1,0.45,6
280,2600,1.225,1.79E-05,1,0.45,6.63
280,2820,1.212,1.81E-05,1,0.45,6.88
280,2328,1.212,1.81E-05,1,0.45,4
280,2254,1.212,1.81E-05,1,0.45,6.3
280,2500,1.2,1.40E-05,1,0.45,6.5
280,2640,1.212,1.81E-05,1,0.45,5.2
280,2640,1.212,1.81E-05,1,0.45,5.9
280,2540,1.212,1.81E-05,1,0.44,9
2800,1870,1.212,1.81E-05,1,0.45,91.8
2800,1018,1.212,1.81E-05,1,0.45,82
284,2635,1.212,1.81E-05,1,0.45,5.91
285,3060,1.3,2.00E-05,1,0.45,8
289,1350,1.212,1.81E-05,1,0.45,4.1
289,1538,1.212,1.81E-05,1,0.47,3
289,660,1.212,1.81E-05,1,0.45,3.8
290,2650,1.212,1.81E-05,1,0.45,8
290,1350,1.212,1.81E-05,1,0.45,4
290,3900,1.212,1.81E-05,1,0.45,8.6
290,2700,1.212,1.81E-05,1,0.315,9
290,7790,1.212,1.81E-05,1,0.45,24
290,2500,1.212,1.81E-05,1,0.45,8.2
2900,600,1.212,1.81E-05,1,0.45,60
292,2644,1.2156,1.81E-05,1,0.45,7.96
293,2837,1.212,1.81E-05,1,0.45,13.8
293,2650,1.212,1.81E-05,1,0.45,7.9
2930,1040,1.185,1.84E-05,1,0.45,90
295,2500,1.212,1.81E-05,1,0.37,4.4
297,2450,1.212,1.81E-05,1,0.45,5.67
298,2900,0.316220837,4.55E-05,1,0.45,3
298,2900,0.316220837,4.55E-05,1,0.45,3.1
30,1440,1.212,1.81E-05,1,0.398,0.07
